Tool,TIME Status,Primary SysAdmin,Budget Holder(s),Description,URL,Cap1,Cap2,Cap3,Cap4,Cap5,Cap6,Cap7,Cap8,Cap9,Cap10,Cap11,Cap12,Cap13,Cap14,Cap15,Cap16,Cap17,Cap18,Cap19,Cap20,Cap21,Cap22,Cap23,Cap24,Cap25,Cap26,AMERICAS D&A,AMETA D&A,DIGITAL D&A,EUROPE D&A,ERA,GAC
AWS Aurora,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Amazon's managed relational database service that's compatible with MySQL and PostgreSQL. Aurora provides enterprise-grade performance, availability, and security with automatic scaling, backup, and recovery capabilities. It's designed to handle demanding workloads while reducing database administration overhead.",https://aws.amazon.com/rds/aurora/,1,0,2,0,1,2,3,0,1,2,2,2,1,2,0,0,0,1,2,1,2,3,0,0,0,0,1,0,0,0,0,0
AWS Neptune,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Amazon's managed graph database service optimized for storing and navigating highly connected data. Neptune supports both property graph and RDF graph models, making it suitable for applications like social networks, fraud detection, recommendation engines, and knowledge graphs.",https://aws.amazon.com/neptune/,1,1,2,0,1,2,3,0,1,2,2,2,1,2,0,1,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0
Azure DevOps,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Microsoft's DevOps platform that provides version control, build automation, testing tools, and release management capabilities. It enables software development teams to plan work, collaborate on code, build and deploy applications, and monitor performance throughout the application lifecycle.",https://azure.microsoft.com/en-us/products/devops,1,2,1,0,1,2,1,2,2,3,2,1,1,3,1,1,2,2,2,1,3,1,0,0,0,0,1,0,0,0,0,0
Azure SQL Database,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Microsoft's cloud-based relational database service built for modern applications and analytics workloads. Azure SQL Database provides managed database capabilities with built-in intelligence, automatic scaling, and enterprise-grade security features including threat detection and data encryption. It supports both traditional transactional workloads and analytical queries, enabling organizations to build scalable applications while reducing",https://azure.microsoft.com/en-us/products/azure-sql,1,2,1,0,1,2,1,2,2,3,2,1,1,3,1,1,2,2,2,1,3,1,0,0,0,0,0,1,0,0,0,0
BASH script,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A command-line shell and scripting language that serves as the default command interpreter for most Linux and Unix-based operating systems, providing an interface for executing system commands and automating administrative tasks. It offers advanced scripting capabilities including variables, control structures, functions, and command substitution, along with interactive features such as command history, tab completion, job control, and command aliasing, enabling users to create complex automation scripts, manage system processes, manipulate files and directories, and orchestrate workflows across Unix-like environments.",https://www.w3schools.com/bash/bash_script.php,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Brunner BI Measure Killer,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A Power BI optimization tool that identifies and removes unused columns and measures from semantic models while providing comprehensive lineage analysis across reports, dataflows, and downstream models. It offers features for dependency visualization, DAX and M code search capabilities, best practice analysis, and tenant-wide scanning to help organizations clean their Power BI workspaces, improve model performance, and generate documentation for both individual models and entire tenants.",https://www.brunner.bi/measurekiller,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
C#,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A modern, object-oriented programming language developed by Microsoft as part of the .NET framework. C# is used for building Windows applications, web services, mobile apps, and enterprise software solutions. It offers strong typing, memory management, and extensive libraries for developing scalable applications in corporate environments.",https://docs.microsoft.com/en-us/dotnet/csharp/,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,0,0,0,1,0,1,0,0,0
CDataSoftware DBAmp,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A data integration tool designed for Salesforce data replication and synchronization. DBAmp enables organizations to extract, transform, and load Salesforce data into SQL Server databases, providing real-time or scheduled data synchronization for reporting, analytics, and backup purposes.",https://www.cdata.com/dbamp/,1,0,2,0,1,2,2,1,1,2,2,2,1,2,0,0,0,1,2,1,2,2,0,0,0,0,1,0,0,0,0,0
Cygwin,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A Linux-like environment and command-line interface for Windows that provides a comprehensive collection of GNU and Open Source tools, enabling developers to run native Linux applications on Windows systems. It offers a POSIX-compatible API layer, bash shell functionality, standard Unix utilities, and development tools including compilers and debuggers, allowing users to port Unix software to Windows and execute shell scripts without requiring a virtual machine or dual-boot configuration.",https://www.cygwin.com/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Databricks Catalog and Data Access,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Unity Catalog - Databricks' governance solution that provides centralized access control, data discovery, and lineage tracking across all data assets. It enables organizations to manage permissions, monitor data usage, and maintain compliance while providing users with self-service access to trusted data sources.",https://docs.databricks.com/data-governance/unity-catalog/,1,2,2,0,1,3,3,1,2,2,3,2,1,3,1,2,2,3,3,2,3,2,1,0,0,0,1,1,1,0,0,0
Databricks Compute & Infrastructure,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","The underlying compute platform that provides scalable, cloud-based processing power for data and AI workloads. It includes autoscaling clusters, serverless computing options, and optimized runtimes for different workload types, enabling organizations to process large datasets and train machine learning models.",https://docs.databricks.com/clusters/,2,2,2,1,2,3,2,1,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,1,0,0,1,0,0,0,0,0
Databricks Dashboards & Analytics,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A business intelligence and visualization platform integrated within Databricks that enables users to create interactive dashboards, reports, and analytics applications. It provides self-service analytics capabilities, allowing business users to explore data and create visualizations.",https://docs.databricks.com/aws/en/dashboards/,2,2,3,1,3,2,2,2,2,2,2,3,3,2,1,2,1,1,2,2,2,2,1,2,0,0,1,0,0,0,0,0
Databricks ML & AI applications,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A machine learning platform that provides capabilities for building, training, and deploying AI models. It includes MLflow for experiment tracking, automated machine learning features, model serving infrastructure, and tools for managing the machine learning lifecycle from development to production.",https://docs.databricks.com/machine-learning/,2,3,2,3,2,2,2,1,2,2,2,2,2,2,3,3,3,3,2,3,2,2,3,1,0,0,1,0,0,0,0,0
Databricks Notebooks & Development,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Interactive, collaborative computational environments that combine code, visualizations, and narrative text in a single document. Databricks notebooks support multiple programming languages and enable data scientists and engineers to explore data, develop models, and share insights in a version-controlled environment.",https://docs.databricks.com/notebooks/,2,2,2,1,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,0,0,1,0,0,0,0,0
Databricks Workflows and Orchestration,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Job scheduling and workflow automation capabilities that enable organizations to create, monitor, and manage complex data pipelines and analytics processes. It provides dependency management, error handling, and monitoring features for automating recurring data processing and machine learning tasks at scale.",https://docs.databricks.com/workflows/,1,2,2,1,2,3,2,2,2,3,3,2,2,3,1,2,2,2,2,2,3,2,1,1,0,0,1,0,0,0,0,0
Dataiku,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A data science platform that provides capabilities for data preparation, machine learning, and model deployment. Dataiku offers both code-free and code-friendly approaches, enabling collaboration between business analysts and data scientists while providing enterprise-grade governance, scalability, and automation features.",https://www.dataiku.com,2,3,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,2,3,2,2,3,1,0,0,0,0,1,0,0,0
DAX Studio,ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A query execution and performance analysis tool that enables developers to write, test, and optimize DAX queries for Power BI, Analysis Services, and Excel data models. It provides advanced debugging capabilities, server timing profiling, query execution breakdowns, and integrated tracing to identify performance bottlenecks, along with features for exporting data, analyzing model metadata through VertiPaq Analyzer, and connecting to multiple tabular model environments.",https://daxstudio.org/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Dell Boomi,INVEST,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based integration platform-as-a-service (iPaaS) that enables organizations to connect applications, data, and processes across cloud and on-premises environments. Boomi provides pre-built connectors, visual development tools, and management capabilities for creating and maintaining enterprise integration solutions.",https://boomi.com,1,2,2,0,1,3,2,1,2,2,2,2,1,2,0,1,1,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0
Docker,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A containerization platform that enables developers to build, share, and run applications in isolated, portable environments using lightweight containers instead of traditional virtual machines. It provides container orchestration through Docker Compose, integration with CI/CD pipelines, Docker Hub for sharing container images, and Docker Desktop for local development, allowing teams to ensure consistent application behavior across development, testing, and production environments.",https://www.docker.com/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,1,0,1,0,0,0
EvidentlyAI,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source ML and LLM observability framework that enables teams to evaluate, test, and monitor AI systems throughout their lifecycle, from experimentation to production deployment. It provides comprehensive drift detection, model performance tracking, and data quality monitoring with over 100 built-in metrics, along with customizable reports, test suites, and dashboards for maintaining reliable ML pipelines at scale.",https://www.evidentlyai.com/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Golang,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source programming language developed by Google, designed to combine simplicity with high performance and scalability for modern computing environments. Go features fast compilation, built-in concurrency support through goroutines and channels, and automatic memory management, making it ideal for cloud services, microservices, web servers, and distributed systems where efficiency and concurrent processing are critical.",https://go.dev/,0,0,0,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0
Google Geocode API,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A web service that converts addresses into geographic coordinates (latitude and longitude) and vice versa. The Geocoding API enables applications to integrate location-based services, mapping functionality, and spatial analysis capabilities, supporting various address formats and providing location information for global addresses.",https://developers.google.com/maps/documentation/geocoding,2,1,1,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,3,0,0,1,0,0,0,0,0
Great Expectations,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source Python library for data validation, documentation, and profiling that helps teams maintain data quality and reliability. It enables data engineers and scientists to create automated data tests, generate documentation, and monitor data pipelines to catch data issues before they impact downstream analytics.",https://greatexpectations.io,1,1,2,0,1,2,2,1,2,2,3,2,1,2,0,1,1,2,3,2,2,2,1,0,0,0,1,0,1,0,0,0
Hashicorp Terraform,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An infrastructure as code tool by HashiCorp that enables teams to define, provision, and manage cloud and on-premises infrastructure using declarative configuration files across multiple providers. It provides execution planning, resource dependency graphing, state management for tracking infrastructure changes, and reusable modules for standardizing deployments, while supporting version control workflows and policy enforcement to safely automate infrastructure lifecycle management at scale.",https://developer.hashicorp.com/terraform,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
JavaScript,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A high-level programming language that runs in web browsers and server environments. JavaScript is essential for creating interactive web applications, dynamic user interfaces, and modern web experiences. It's also used for server-side development (Node.js), mobile app development, and data visualization applications.",https://developer.mozilla.org/en-US/docs/Web/JavaScript,3,2,2,1,3,2,2,3,3,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,0,0,1,0,1,0,0,0
Jupyter Notebooks,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An open-source web application that creates and shares interactive computational documents containing code, visualizations, and explanatory text. Jupyter supports multiple programming languages and has become a standard tool for data science experimentation, prototyping, and educational content in the Python ecosystem.",https://jupyter.org,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,0,0,1,0,1,0,0,0
LangGraph,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A flexible framework for building controllable cognitive architectures that enables developers to create reliable AI agent systems with diverse control flows including single-agent, multi-agent, hierarchical, and sequential patterns. It provides built-in moderation and quality loops to ensure agents stay on track, along with templatized architectures through LangGraph Platform that make tools, prompts, and models easily configurable for production deployments.",https://www.langchain.com/langgraph,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Lucidchart,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based diagramming and visual collaboration platform used for creating flowcharts, organizational charts, network diagrams, and other visual representations. Lucidchart enables teams to collaborate on visual documentation, process mapping, and system design, with templates and integrations for various business and technical use cases.",https://www.lucidchart.com,3,1,2,0,2,0,1,3,2,1,0,2,2,2,0,0,0,0,1,1,2,0,0,3,0,0,1,1,1,0,0,0
Microsoft DQS,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","Data Quality Services - a SQL Server component that provides data cleansing, matching, and monitoring capabilities to improve data quality. DQS enables organizations to identify and correct data inconsistencies, standardize data formats, and maintain ongoing data quality monitoring across their data sources.",https://docs.microsoft.com/en-us/sql/data-quality-services/,1,1,2,0,1,2,2,1,2,2,3,2,1,2,0,1,1,2,3,2,2,2,0,0,0,0,1,0,0,0,0,0
Microsoft GitHub Copilot,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An AI-powered code completion and suggestion tool developed by GitHub in partnership with OpenAI. Copilot uses machine learning to provide contextual code suggestions, helping developers write code faster by predicting and generating code snippets based on comments and existing code patterns.",https://github.com/features/copilot,1,3,1,0,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,3,2,0,0,0,1,0,1,0,0,0
Microsoft Power Apps (ex PowerApps),TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A low-code/no-code platform for building custom business applications without extensive programming knowledge. Power Apps enables users to create mobile and web applications that connect to various data sources, automate business processes, and provide custom solutions for organizational needs.",https://powerapps.microsoft.com,2,2,2,0,2,2,2,3,3,2,2,2,2,2,0,1,1,1,1,1,3,1,0,1,0,0,1,1,1,0,0,0
Microsoft Power Automate (ex Microsoft Flow),TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based workflow automation platform that enables users to create automated processes between applications and services. Power Automate helps organizations streamline repetitive tasks, integrate different systems, and create approval workflows without requiring programming skills.",https://powerautomate.microsoft.com,1,2,2,0,1,2,1,2,2,2,3,2,2,2,1,1,1,1,2,2,3,1,1,0,0,0,1,1,1,0,0,0
Microsoft Power Pages (ex PowerApps Portals),TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A low-code platform for creating external-facing websites and web portals that connect to business data. Power Pages enables organizations to build customer portals, partner sites, and community platforms with authentication, data integration, and customizable templates.",https://powerpages.microsoft.com,2,1,2,0,2,1,1,3,3,2,1,2,1,2,0,0,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0,0
Microsoft PowerBI Desktop,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A free Windows application for business intelligence that enables analysts to connect to diverse data sources, transform and model data, and create interactive visualizations and reports for organizational insights. It provides advanced data preparation capabilities through Power Query, DAX formula language for calculations, relationship modeling tools, and a comprehensive library of customizable visualizations, while seamlessly publishing completed reports to the Power BI service for sharing and collaboration across teams.",https://powerbi.microsoft.com/desktop/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Microsoft PowerBI Dataflows (ETL),TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A self-service ETL tool within the Power BI ecosystem that enables organizations to extract, transform, and load data from various sources into reusable, centralized datasets stored in Azure Data Lake Storage. It provides a low-code Power Query interface for data preparation, scheduled refresh capabilities, computed entities for complex transformations, and Common Data Model integration, allowing teams to create standardized, governed data assets that can be shared across multiple Power BI reports and datasets.",https://learn.microsoft.com/power-bi/transform-model/dataflows/dataflows-introduction-self-service,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Microsoft PowerBI Embedded,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An Azure-based analytics platform that enables developers to integrate Power BI reports, dashboards, and tiles directly into custom applications for external customers or internal users. It provides REST APIs and JavaScript SDKs for seamless embedding, row-level security for multi-tenant scenarios, white-labeling capabilities to match brand identity, and capacity-based licensing that eliminates per-user costs, allowing ISVs and enterprises to deliver analytics experiences within their own applications without requiring Power BI licenses for end users.",https://azure.microsoft.com/products/power-bi-embedded/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Microsoft PowerBI Gateway,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A bridge application that securely transfers data between on-premises data sources and Microsoft cloud services, enabling real-time connectivity without moving data to the cloud. It provides encrypted data transfer channels, centralized gateway management, support for DirectQuery and scheduled refresh modes, and multi-user gateway sharing capabilities, allowing organizations to maintain data residency compliance while leveraging cloud-based Power BI analytics on locally-stored databases and file systems.",https://powerbi.microsoft.com/gateway/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Microsoft PowerBI Premium,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An enterprise-tier capacity-based offering that provides dedicated cloud resources for organizations requiring advanced analytics capabilities, enhanced performance, and broader distribution of business intelligence content. It delivers larger dataset support up to 100GB, deployment pipelines for development lifecycle management, paginated reports, AI capabilities through AutoML and Cognitive Services, unlimited content sharing to free users, and dedicated compute resources, enabling enterprises to scale their analytics infrastructure while maintaining governance and reducing per-user licensing costs.",https://powerbi.microsoft.com/power-bi-premium/,0,0,0,0,0,3,2,1,1,2,2,2,1,2,0,0,1,2,2,2,2,3,1,0,0,0,0,0,1,0,0,0
Microsoft PowerBI Pro,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A user-based license that enables business professionals to create, publish, and share Power BI content while collaborating on data-driven insights across their organization. It provides workspace collaboration features, report sharing capabilities up to 10GB per user, scheduled data refresh eight times daily, access to all Power BI connectors, and mobile app functionality, allowing teams to build and distribute interactive reports and dashboards through the Power BI service for informed decision-making.",https://powerbi.microsoft.com/pricing/,3,1,3,0,3,1,2,2,2,1,2,3,3,1,0,1,1,1,2,2,2,2,1,2,0,0,1,1,1,0,0,0
Microsoft Sharepoint,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A web-based collaboration and document management platform that enables organizations to create intranet sites, share documents, and collaborate on projects. SharePoint provides content management, workflow automation, and business intelligence features integrated with other Microsoft 365 services.",https://www.microsoft.com/en-us/microsoft-365/sharepoint/collaboration,2,1,2,0,2,2,2,2,2,3,2,2,2,3,0,0,0,1,3,1,3,1,0,1,0,0,1,1,1,0,0,0
Microsoft SQL Server Integration Service (SSIS),ELIMINATE,████████@████████.com,"████████@████████.com, ████████@████████.com","A data integration and workflow platform that provides extract, transform, and load (ETL) capabilities for data warehousing and business intelligence projects. SSIS enables organizations to move and transform data between different systems, databases, and file formats with visual development tools.",https://docs.microsoft.com/en-us/sql/integration-services/,1,1,2,0,1,3,2,1,2,2,3,2,2,2,0,1,1,1,2,1,2,2,1,0,0,0,1,1,0,0,0,0
Microsoft SQL Server Management Studio (SSMS),MIGRATE,████████@████████.com,"████████@████████.com, ████████@████████.com","An integrated environment for managing Microsoft SQL Server infrastructure, databases, and services. SSMS provides tools for database administration, query development, performance monitoring, and security management, enabling database administrators and developers to work with SQL Server systems.",https://docs.microsoft.com/en-us/sql/ssms/,1,0,2,0,1,2,3,1,1,2,2,2,1,2,0,0,0,1,2,1,2,3,0,0,0,0,1,1,0,0,0,0
Microsoft Visual Studio Code,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A lightweight, open-source code editor that supports multiple programming languages and provides customization through extensions. VS Code offers debugging capabilities, integrated terminal, Git integration, and intelligent code completion, making it popular among developers for various programming projects and platforms.",https://code.visualstudio.com,1,2,1,0,1,2,1,2,2,3,2,1,1,2,1,2,2,2,2,1,2,3,1,0,0,0,1,1,1,0,0,0
Microsoft Visual Studio Full IDE,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","An integrated development environment (IDE) for building applications across multiple platforms and languages. Visual Studio provides debugging, profiling, testing tools, and project management capabilities for enterprise software development, particularly for .NET and Microsoft technology stack applications.",https://visualstudio.microsoft.com,1,2,1,0,1,2,1,2,2,3,2,1,1,2,1,2,2,2,2,1,2,2,1,0,0,0,1,1,1,0,0,0
Microsoft Visual Studio Online/Codespaces,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A cloud-based development environment that provides on-demand development resources accessible from any device. It enables developers to create, edit, and debug code in the cloud with full development tool access, supporting collaborative development and reducing local environment setup requirements.",https://visualstudio.microsoft.com/services/github-codespaces/,1,2,1,0,1,2,1,2,2,3,2,1,1,3,1,2,2,2,2,1,3,2,1,0,0,0,0,0,0,0,0,0
Microsoft Windows Task Scheduler,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A Windows system service that enables users to automatically run programs, scripts, or tasks at specified times or in response to specific events. Task Scheduler is used for automating system maintenance, backup operations, and recurring business processes within Windows environments.",https://docs.microsoft.com/en-us/windows/win32/taskschd/task-scheduler-start-page,0,1,0,0,0,2,0,1,1,2,2,1,0,3,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0
Miniforge,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A minimal installer for conda and mamba package managers that provides Python distribution management for data science and scientific computing. Miniforge enables users to create isolated environments, manage Python packages, and maintain reproducible development setups without the licensing constraints of other conda distributions.",https://github.com/conda-forge/miniforge,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,3,2,2,1,2,2,1,2,0,0,0,1,0,0,0,0,0
Neo4j,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A graph database management system optimized for storing and querying highly connected data using nodes, relationships, and properties. Neo4j is effective for applications involving social networks, fraud detection, recommendation engines, and any scenario where relationships between data points are as important as the data itself.",https://neo4j.com,2,2,2,0,2,2,3,1,2,2,2,2,2,2,0,2,1,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0
NetworkX,TBD,████████@████████.com,"████████@████████.com, ████████@████████.com","A Python library for creating, manipulating, and studying complex networks and graphs. NetworkX provides tools for network analysis, graph algorithms, and visualization, making it valuable for analyzing social networks, transportation systems, biological networks, and other complex systems with interconnected relationships.",https://networkx.org,3,1,2,0,2,1,1,1,1,1,1,2,1,1,0,2,0,1,1,3,1,1,1,2,0,0,1,1,0,0,0,0
